id,quote,author
64,"„Faust. Nun gut, wer bist du denn? Mephistopheles. Ein Teil von jener Kraft, Die stets das Böse will und stets das Gute schafft.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
65,"„Und ich habe gefunden, dass Missverständnisse und Trägheit vielleicht mehr Irrungen in der Welt machen als List und Bosheit. Wenigstens sind die beiden letzteren gewiß seltener.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
66,"„Den Teufel spürt das Völkchen nie, / und wenn er sie beim Kragen hätte.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
67,„Die Welt urteilt nach dem Scheine.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
68,"„Im Atemholen sind zweierlei Gnaden: Die Luft einziehen, sich ihrer entladen; jenes bedrängt, dieses erfrischt; so wunderbar ist das Leben gemischt. Du danke Gott, wenn er dich preßt, und dank ihm, wenn er dich wieder entlässt!“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
69,"„Über allen Tugenden steht eines: das beständige Streben nach oben, das Ringen mit sich selbst, das unersättliche Verlangen nach größerer Reinheit, Weisheit, Güte, Liebe.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
70,"„Ironie ist das Körnchen Salz, das das Aufgetischte überhaupt erst genießbar macht.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
71,"„Der Worte sind genug gewechselt, laßt mich auch endlich Taten sehen! Indes ihr Komplimente drechselt, kann etwas Nützliches geschehen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
72,"„Der Glückliche, der Behagliche hat gut reden, aber schämen würde er sich, wenn er einsähe, wie unerträglich er dem Leidenden wird.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
73,„Ohne Aufopferung läßt sich keine Freundschaft denken.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
74,"„Man muß immerfort verändern, erneuern, verjüngen, um nicht zu verstocken.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
75,"„Eine falsche Lehre läßt sich nicht widerlegen, denn sie ruht ja auf der Überzeugung, daß das Falsche wahr sei. Aber das Gegenteil kann, darf und muß man wiederholt aussprechen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
76,„Die Fratze des Parteigeists ist mir mehr zuwider als irgendeine andere Karikatur.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
77,"„Es kann doch kein Deutscher einen Schuh zuschnallen, der es nicht von einer fremden Nation gelernt hat.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
78,"„Farben und Licht stehen zwar untereinander in dem genauesten Verhältnis, aber wir müssen uns beide als der ganzen Natur angehörig denken: denn sie ist es ganz, die sich dadurch dem Sinne des Auges besonders offenbaren will.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
79,"„Blumen sind die schönen Worte und Hieroglyphen der Natur, mit denen sie uns andeutet, wie lieb sie uns hat.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
80,"„Daran erkenn ich den gelehrten Herrn! / Was ihr nicht tastet, steht euch meilenfern, / Was ihr nicht faßt, das fehlt euch ganz und gar, / Was ihr nicht rechnet, glaubt ihr, sei nicht wahr, / Was ihr nicht wägt, hat für euch kein Gewicht, / Was ihr nicht münzt, das, meint ihr, gelte nicht.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
81,„Wenn Gott mich anders gewollt hätte; dann hätte er mich anders gemacht.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
82,„Bei großen Unternehmungen wie bei großen Gefahren muß der Leichtsinn verbannt sein.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
83,"„Man sieht nur, was man weiß. Eigentlich: Man erblickt nur, was man schon weiß und versteht“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
84,"„In bunten Bildern wenig Klarheit, Viel Irrtum und ein Fünkchen Wahrheit, So wird der beste Trank gebraut, Der alle Welt erquickt und auferbaut.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
85,"„Unglück ist auch gut. Ich habe viel in der Krankheit gelernt, das ich nirgends in meinem Leben hätte lernen können.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
86,„Erfahrung ist fast immer eine Parodie auf die Idee.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
87,"„Der Sprache liegt zwar die Verstandes- und Vernunftsfähigkeit des Menschen zu Grunde, aber sie setzt bei dem, der sich ihrer bedient, nicht eben reinen Verstand, ausgebildete Vernunft, redlichen Willen voraus. Sie ist ein Werkzeug, zweckmäßig und willkürlich zu gebrauchen; man kann sie ebensogut zu einer spitzfindig-verwirrenden Dialektik wie zu einer verworren-verdüsternden Mystik verwenden...“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
88,"„Ich bin ein Kind des Friedens und will Frieden halten für und für mit der ganzen Welt, da ich ihn einmal mit mir selbst geschlossen habe.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
89,"„Halte dich nur im Stillen rein und lass es um dich wettern! Je mehr du fühlst, ein Mensch zu sein, desto ähnlicher bist du den Göttern.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
90,"„Man kann die Erfahrung nicht früh genug machen, wie entbehrlich man in der Welt ist.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
91,"„Ich bin der Geist, der stets verneint! / Und das mit Recht; denn alles, was entsteht, / Ist wert, daß es zugrunde geht; / Drum besser wär's, daß nichts entstünde. / So ist denn alles, was ihr Sünde, / Zerstörung, kurz das Böse nennt, / Mein eigentliches Element.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
92,"„Denken und Tun, Tun und Denken, Das ist die Summe aller Weisheit, Von jeher anerkannt, von jeher geübt, Nicht eingesehen von einem jeden. Beides muss wie Einatmen und Ausatmen Sich im Leben ewig fort hin und wieder bewegen; Wie Frage und Antwort Sollt' eins ohne das Andere nicht stattfinden.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
93,"„Wie es auch sei, das Leben, es ist gut.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
94,"„So eine Arbeit ist eigentlich nie fertig, man muss sie für fertig erklären, wenn man nach Zeit und Umständen das Mögliche getan hat.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
95,„Stürze dich kühn in die Fülle des Lebens.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
96,"„Nehmt nur mein Leben hin, in Bausch Und Bogen, wie ich's führe; Andre verschlafen ihren Rausch, Meiner steht auf dem Papiere.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
97,"„Nichts Bessers weiß ich mir an Sonn- und Feiertagen als ein Gespräch von Krieg und Kriegsgeschrei, wenn hinten, weit, in der Türkei, die Völker aufeinander schlagen. Man steht am Fenster, trinkt sein Gläschen aus und sieht den Fluss hinab die bunten Schiffe gleiten; dann kehrt man abends froh nach Haus und segnet Fried und Friedenszeiten.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
98,"„Prüfet alles, und das Beste behaltet.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
99,"„Wie kann man sich selbst kennenlernen? Durch Betrachten niemals, wohl aber durch Handeln. Versuche deine Pflicht zu tun, und du weißt gleich, was an dir ist. Was aber ist deine Pflicht? Die Forderung des Tages.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
100,„Mein Leipzig lob ich mir! / Es ist ein klein Paris und bildet seine Leute.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
101,„Den Gipfel im Auge wandeln wir gerne auf der Ebene.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
102,"„Die göttliche Kraft ist überall verbreitet, und die ewige Liebe ist überall wirksam.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
103,"„Jedem Alter des Menschen antwortet eine gewisse Philosophie. Das Kind erscheint als Realist; denn es findet sich so überzeugt von dem Dasein der Birnen und Äpfel als von dem seinigen... Der Greis jedoch wird sich immer zum Mystizismus bekennen. Er sieht, daß so vieles vom Zufall abzuhängen scheint: das Unvernünftige gelingt, das Vernünftige schlägt fehl, Glück und Unglück stellen sich unerwartet ins gleiche...“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
104,"„Wenn man denkt, die Einheit Deutschlands bestehe darin, daß es eine einzige Residenz habe, so irrt man.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
105,"„Nicht die Umstände bestimmen uns, sondern wir bestimmen unsere Umstände.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
106,"„Wenn ihr Euch nur selbst vertraut, vertrauen euch die andern Seelen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
107,"„Wenn man in der Jugend nicht tolle Streiche machte und mitunter einen Buckel voll Schläge mit hinwegnähme, was wollte man denn im Alter für Betrachtungsstoff haben?“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
108,"„Das Menschenpack fürchtet sich vor nichts mehr als vor dem Verstande; vor der Dummheit sollten sie sich fürchten, wenn sie begriffen was fürchterlich ist; Aber jener ist unbequem und man muss ihn beiseite schaffen, diese ist nur verderblich, und das kann man abwarten.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
109,"„Nun, Frauenzimmerchen, gib mir dein gutes Pfötchen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
110,"„Die Menschen sind nicht nur zusammen, wenn sie beisammen sind, auch der Entfernte, der Abgeschiedene lebt in uns.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
111,"„Sonne kann nicht ohne Schein, Mensch nicht ohne Liebe sein.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
112,"„Seelenleiden zu heilen vermag der Verstand nichts, die Vernunft wenig, die Zeit viel, entschlossene Tätigkeit alles.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
113,"„Man wird dreihundert Jahre alt und drüber, wenn man nur alle Tage seine Sachen redlich macht.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
114,"„Der Charakter ruht auf der Persönlichkeit, nicht auf den Talenten. Talente können sich zum Charakter gesellen, er gesellt sich nicht zu ihnen, denn ihm ist alles entbehrlich außer die Persönlichkeit.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
115,"„Der Mensch fürchtet nur, was er nicht kennt, und was er meidet, wird er bald verkennen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
116,"„Wenn ihr's nicht fühlt, ihr werdet's nicht erjagen, Wenn es nicht aus der Seele dringt Und mit urkräftigem Behagen Die Herzen alles Hörer zwingt.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
117,"„Die Sinne trügen nicht, das Urtheil trügt.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
118,"„Der Optimist wird stets am besten fahren, weil er, geht alles gut, recht behält, geht's aber schlecht, hat er sich nicht gequält mit Dingen, die doch unvermeidlich waren.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
119,„Ohne Wein und ohne Weiber hol' der Teufel unsere Leiber.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
120,"„Vor die Wahl gestellt zwischen Unordnung und Unrecht, entscheidet sich der Deutsche für das Unrecht.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
121,„Die beste Freude ist wohnen in sich selbst.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
122,"„Mißgunst und Haß beschränken den Beobachter auf die Oberfläche, selbst wenn Scharfsinn sich zu ihnen gesellt; verschwistert sich dieser hingegen mit Wohlwollen, und Liebe, so durchdringt er die Welt und den Menschen, ja er kann hoffen, zum Allerhöchsten zu gelangen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
123,"„Alles, was uns imponieren soll, muß Charakter haben.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
124,"„Mein lieber Christ, wie du betrogen bist, Wenn dein Himmel keine Wahrheit ist! Mein lieber Atheist, wie du betrogen bist, Wenn die Hölle eine Wahrheit ist!“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
125,„Dich vermag aus Glaubensketten Der Verstand allein zu retten.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
126,"„Auch aus Steinen, die einem in den Weg gelegt werden, kann man Schönes bauen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
127,"„Welch Glück geliebt zu werden! Und lieben, Götter, welch ein Glück!“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
128,"„Verwirrende Lehre zu verwirrtem Handel waltet über die Welt, und ich habe nichts angelegentlicher zu tun, als dasjenige, was an mir ist und geblieben ist, womöglich zu steigern und meine Eigentümlichkeiten läuternd zu steigern, wie Sie es, würdiger Freund, auf Ihrer Burg ja auch bewerkstelligen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
129,„So sei doch höflich! – Höflich mit dem Pack? Mit Seide näht man keinen groben Sack.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
130,"„Die der Eltern Güter und nicht ihre Tugenden erben, sind bloß halbe Erben.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
131,"„Überhaupt lernt niemand etwas durch bloßes Anhören, und wer sich in gewissen Dingen nicht selbständig bemüht, weiß die Sache nur oberflächlich und halb.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
132,"„Man schilt mit gleichem Recht auf Anarchie und Tyrannei; wo ist denn aber der wünschenswerte Mittelzustand? Der vernünftige Mensch sucht ihn in seinem Kreise hervorzubringen, und da gelingt es ihm kaum.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
133,"„Der Mensch wird in seinen verschiedenen Lebensstufen wohl ein anderer, aber ich kann nicht sagen, daß er ein besserer werde, und er kann in gewissen Dingen so gut in seinem zwanzigsten Jahren recht haben als in seinem sechzigsten.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
134,"„Jeder, der sein inneres Selbst nicht zu regieren weiß, regierte gar zu gern des Nachbars Willen, eignem stolzem Sinn gemäß.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
135,„Mit einem kritischen Freund an der Seite kommt man immer schneller vom Fleck.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
136,"„Die Menschheit wird erst glücklich sein, wenn alle Menschen Künstlerseelen haben werden, das heißt, wenn allen ihre Arbeit Freude macht.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
137,„Laßt mich weinen! Das ist keine Schande. Weinende Männer sind gut.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
138,"„Das Kalte wird warm,/ der Reiche wird arm,/ der Narre gescheit:/ Alles zu seiner Zeit.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
139,"„Wer sich selbst und andere kennt, wird auch hier erkennen: Orient und Okzident sind nicht mehr zu trennen.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
140,"„In einem Augenblick gewährt die Liebe, was Mühe kaum in langer Zeit erreicht.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
141,"„Armut, Keuschheit und Gehorsam, - drei Gelübde, deren jedes, einzeln betrachtet, der Natur das unausstehlichste scheint, so unerträglich sind sie alle.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
142,"„Zu reden ist uns ein Bedürfnis, zuzuhören ist eine Kunst.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
143,"„Alte Freunde muß man nicht wiedersehen. Man versteht sich nicht mehr mit ihnen, jeder hat eine andere Sprache bekommen... Man trübt sich das reine Bild des früheren Verhältnisses.“―Johann Wolfgang von Goethe",Johann Wolfgang von Goethe
144,„Das Christentum steht mit dem Judentum in einem weit stärkeren Gegensatz als mit dem Heidentum.“―Johann Wolfgang von Goethe,Johann Wolfgang von Goethe
